CASE_ENQUIRY_ID,OPEN_DT,CLOSED_DT,TIME_DIFF,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,Location,neighborhood,neighborhood_services_district,LOCATION_STREET_NAME,LOCATION_ZIPCODE,LATITUDE,LONGITUDE,Source,completion.time
1.01E+11,7/3/12 9:37,7/26/12 12:25,23:02:47,Closed,Case Closed Case Resolved   This request has been completed. ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,233 Humboldt Ave  Dorchester  MA  02121,Roxbury,13,233 Humboldt Ave,2121,42.31191,-71.0908,Citizens Connect App,554.7833333
1.01E+11,7/3/12 9:39,8/21/12 14:43,18:05:04,Closed,Case Closed Case Resolved ,Graffiti Removal - power wash cement light pole base - Dist 10A,Property Management,Graffiti,Graffiti Removal,PWDx_District 1C: Downtown,PWDx,95 Massachusetts Ave  Boston  MA  02215,Back Bay,14,95 Massachusetts Ave,2215,42.348251,-71.08849,Citizens Connect App,437.0666667
1.01E+11,7/3/12 9:39,7/6/12 10:25,3:00:45,Closed,Case Closed Case Resolved ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,BTDT_Traffic Signal_Repair,BTDT,370 Commonwealth Ave  Boston  MA  02215,Back Bay,14,370 Commonwealth Ave,2215,42.34859,-71.08869,Citizens Connect App,72.75
1.01E+11,7/3/12 9:40,7/9/12 9:06,5:23:26,Closed,Case Closed Case Resolved   This is a duplicate and refer to cn#10100044404. ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,39 Calumet St  Mission Hill  MA  02120,Mission Hill,14,39 Calumet St,2120,42.33267,-71.10573,Citizens Connect App,143.4333333
1.01E+11,7/3/12 9:42,7/5/12 15:20,2:05:37,Closed,Case Closed Case Referred to External Agency USPS jurisdiction.  Details forwarded. ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,518A-518 Columbus Ave  Roxbury  MA  02118,South End,6,518A-518 Columbus Ave,2118,42.341923,-71.079694,Citizens Connect App,53.61666667
1.01E+11,7/3/12 9:43,7/6/12 13:41,3:03:58,Closed,Case Closed Case Noted sent inspection and could not locate graffiti it could have been chaulk ,Graffiti Removal - power wash s/walk - dist 1C,Property Management,Graffiti,Graffiti Removal,PWDx_District 1C: Downtown,PWDx,374 Commonwealth Ave  Boston  MA  02215,Back Bay,14,374 Commonwealth Ave,2215,42.349462,-71.089418,Citizens Connect App,75.96666667
1.01E+11,7/3/12 9:43,7/6/12 13:43,3:03:59,Closed,Case Closed Case Noted Sent inspection and could not locate graffiti it looked like chaulk ,Graffiti Removal - power wsh s/walk - Dist 1C,Property Management,Graffiti,Graffiti Removal,PWDx_District 1C: Downtown,PWDx,381 Commonwealth Ave  Boston  MA  02215,Back Bay,14,381 Commonwealth Ave,2215,42.34944,-71.08968,Citizens Connect App,75.98333333
1.01E+11,7/5/12 8:10,7/26/12 12:27,21:04:16,Closed,Case Closed Case Resolved   This request has been completed and 3 Chestnut Hill Avenue was done ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,5 Chestnut Hill Ave  Brighton  MA  02135,Allston / Brighton,15,5 Chestnut Hill Ave,2135,42.3488,-71.15373,Citizens Connect App,508.2666667
1.01E+11,7/5/12 8:41,8/3/12 7:16,28:22:35,Closed,Case Closed Case Resolved Had an employee remove grafitti with the remover  with cloth. ,Graffiti Removal/big belly,Property Management,Graffiti,Graffiti Removal,PWDx_Empty Litter Basket,PWDx,102 Meridian St  East Boston  MA  02128,East Boston,1,102 Meridian St,2128,42.37273,-71.0392,Citizens Connect App,694.5833333
1.01E+11,7/5/12 8:45,7/19/12 15:11,14:06:26,Closed,Case Closed Case Resolved   this request has been completed and has been done four times in the past. ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,69-81 Kilmarnock St  Boston  MA  02215,Fenway / Kenmore / Audubon Circle / Longwood,14,69-81 Kilmarnock St,2215,42.34258,-71.09953,Citizens Connect App,342.4333333
1.01E+11,7/5/12 10:06,7/20/12 11:26,15:01:19,Closed,Case Closed Case Resolved   The graffiti team has height removal restrictions . Since  the graffiti is on the roof the owner should remove this graffiti. ,Graffiti: Ward 19  1904  Other,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,48 Green St  Jamaica Plain  MA  02130,Jamaica Plain,11,48 Green St,2130,42.3124,-71.11116,Constituent Call,361.3166667
1.01E+11,7/5/12 10:14,7/13/12 12:02,8:01:47,Closed,Case Closed Case Resolved   this request has been completed. ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,135 Orleans St  East Boston  MA  02128,East Boston,1,135 Orleans St,2128,42.37026,-71.03559,Citizens Connect App,193.7833333
1.01E+11,7/5/12 10:39,7/13/12 12:04,8:01:24,Closed,Case Closed Case Resolved   This request has been completed. ,Graffiti: Ward 5  0501  Other,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,196-210 Stuart St  Boston  MA  02116,Back Bay,6,196-210 Stuart St,2116,42.35053,-71.06757,Self Service,193.4
1.01E+11,7/5/12 18:12,7/13/12 15:34,7:21:21,Closed,Case Closed Case Resolved done 7-10-12 ,Park Maintenance: ODay Playground,Property Management,Graffiti,Graffiti Removal,PARK_Park Maintenance Requests,PARK,75 W Newton St  Roxbury  MA  02118,South End,6,75 W Newton St,2118,42.340731,-71.075324,Citizens Connect App,189.35
1.01E+11,7/5/12 19:47,7/25/12 12:06,19:16:18,Closed,Case Closed Case Resolved   This request has been completed and has been done three times in the past. ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,29 Denby Rd  Allston  MA  02134,Allston / Brighton,15,29 Denby Rd,2134,42.35602,-71.13482,Citizens Connect App,472.3
1.01E+11,7/5/12 19:50,7/25/12 11:50,19:15:59,Closed,Case Closed Case Resolved   This request has been completed. ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,4 Braintree St  Allston  MA  02134,Allston / Brighton,15,4 Braintree St,2134,42.355861,-71.133048,Citizens Connect App,471.9833333
